ID,EPG_Before,EggCountBefore,EPG_After,EggCountAfter,PreIgA,PostIgA,Location,Breed,Sex,Age,Farm_type,Mgt_system
A,0,0,0,0,45.57964602,34.5619469,Kano,Yankasa,FeMale,Adult,Institutional,Intensive
B,40,2,0,0,36.15486726,28.63274336,Kano,Balami,FeMale,Adult,Institutional,Intensive
C,180,9,60,3,45.57964602,34.5619469,Kano,Yankasa,Male,Young,Institutional,Intensive
D,80,4,40,2,45.57964602,26.77433628,Kano,Yankasa,FeMale,Adult,Institutional,Intensive
E,40,2,0,0,45.57964602,34.5619469,Kano,Yankasa,FeMale,Adult,Institutional,Intensive
F,140,7,260,13,45.57964602,28.63274336,Kano,Uda,FeMale,Young,Institutional,Intensive
G,240,12,120,6,45.57964602,28.63274336,Kano,Uda,Male,Young,Institutional,Intensive
H,80,4,0,0,45.57964602,28.63274336,Kano,Yankasa,FeMale,Adult,Institutional,Intensive
I,520,26,360,18,26.7300885,20.44690265,Kano,Yankasa,Male,Young,Smallholder,Intensive
J,0,0,120,6,26.7300885,30.35840708,Kano,Yankasa,Male,Adult,Smallholder,Intensive
K,320,16,20,1,34.51769912,22.57079646,Kano,Yankasa,FeMale,Young,Smallholder,Intensive
L,40,2,180,9,34.51769912,36.06637168,Kano,Yankasa,FeMale,Adult,Smallholder,Intensive
M,40,2,0,0,34.51769912,30.35840708,Kano,Yankasa,FeMale,Adult,Smallholder,Intensive
N,100,5,20,1,34.51769912,30.35840708,Kano,Balami,FeMale,Adult,Smallholder,Intensive
O,0,0,200,10,28.63274336,33.23451327,Kano,Balami,FeMale,Adult,Commercial,Intensive
P,0,0,180,9,36.42035398,33.23451327,Kano,Balami,Male,Adult,Commercial,Intensive
Q,0,0,0,0,41.55309735,36.06637168,Kano,Yankasa,FeMale,Adult,Commercial,Intensive
R,0,0,120,6,41.55309735,45.57964602,Kano,Uda,FeMale,Adult,Commercial,Intensive
S,0,0,0,0,36.42035398,36.06637168,Kano,Balami,FeMale,Adult,Commercial,Intensive
T,0,0,0,0,41.55309735,36.06637168,Kano,Yankasa,FeMale,Adult,Commercial,Intensive
U,0,0,100,5,28.23451327,13.23451327,Kano,Balami,FeMale,Adult,Commercial,Intensive
V,0,0,180,9,41.55309735,45.57964602,Kano,Uda,FeMale,Adult,Commercial,Intensive
W,0,0,180,9,36.42035398,45.57964602,Kano,Balami,Male,Young,Commercial,Intensive
X,0,0,200,10,41.55309735,34.34070796,Kano,Uda,FeMale,Adult,Commercial,Intensive
Y,0,0,80,4,36.42035398,45.57964602,Kano,Balami,Male,Adult,Commercial,Intensive
Z,0,0,0,0,28.63274336,45.57964602,Kano,Balami,FeMale,Adult,Commercial,Intensive
AA,100,5,160,8,36.15486726,36.06637168,Kano,Yankasa,FeMale,Young,Smallholder,Extensive
BA,60,3,0,0,36.15486726,34.34070796,Kano,Yankasa,FeMale,Adult,Smallholder,Extensive
CA,140,7,20,1,45.57964602,28.63274336,Kano,Balami,FeMale,Adult,Institutional,Intensive
DA,20,1,40,2,34.51769912,45.57964602,Kano,Yankasa,FeMale,Young,Institutional,Intensive
EA,160,8,120,6,26.7300885,28.63274336,Kano,Uda,FeMale,Adult,Institutional,Intensive
FA,0,0,0,0,34.51769912,28.63274336,Kano,Balami,FeMale,Adult,Institutional,Intensive
GA,120,6,0,0,26.7300885,28.63274336,Kano,Balami,FeMale,Adult,Institutional,Intensive
HA,20,1,20,1,34.5619469,34.34070796,Kano,Yankasa,FeMale,Young,Institutional,Semi-intensive
IA,360,18,460,23,34.5619469,34.34070796,Kano,Yankasa,FeMale,Young,Institutional,Semi-intensive
JA,360,18,120,6,34.5619469,28.36725664,Kano,Balami,FeMale,Adult,Institutional,Semi-intensive
KA,320,16,120,6,34.5619469,34.34070796,Kano,Balami,FeMale,Young,Institutional,Semi-intensive
LA,0,0,100,5,34.5619469,34.34070796,Kano,Uda,FeMale,Adult,Institutional,Semi-intensive
MA,360,18,360,18,34.5619469,36.15486726,Kano,Balami,FeMale,Young,Institutional,Semi-intensive
NA,60,3,60,3,28.63274336,34.34070796,Kano,Yankasa,FeMale,Adult,Institutional,Semi-intensive
OA,0,0,20,1,36.42035398,34.34070796,Kano,Balami,FeMale,Adult,Institutional,Semi-intensive
PA,0,0,20,1,36.42035398,34.34070796,Kano,Yankasa,Male,Adult,Institutional,Semi-intensive
QA,260,13,260,13,28.63274336,34.34070796,Kano,Balami,Male,Adult,Institutional,Semi-intensive
RA,200,10,440,22,28.63274336,36.15486726,Kano,Yankasa,FeMale,Adult,Institutional,Semi-intensive
SA,0,0,40,2,34.5619469,34.34070796,Kano,Yankasa,FeMale,Adult,Institutional,Semi-intensive
TA,0,0,0,0,33.23451327,28.63274336,Kano,Sudanese,FeMale,Adult,Commercial,Intensive
UA,0,0,0,0,45.57964602,36.42035398,Kano,Balami,FeMale,Adult,Commercial,Intensive
VA,20,1,0,0,45.57964602,28.63274336,Kano,Uda,FeMale,Adult,Commercial,Intensive
WA,0,0,0,0,45.57964602,36.37610619,Kano,Yankasa,Male,Adult,Commercial,Intensive
XA,0,0,0,0,33.23451327,14.9159292,Kano,Yankasa,FeMale,Adult,Commercial,Intensive
YA,20,1,0,0,45.57964602,20.44690265,Kano,Balami,FeMale,Adult,Commercial,Intensive
ZA,0,0,0,0,45.57964602,20.44690265,Kano,Yankasa,Male,Young,Commercial,Intensive
AB,0,0,0,0,45.57964602,20.44690265,Kano,Balami,FeMale,Adult,Commercial,Intensive
BB,40,2,0,0,45.57964602,20.44690265,Kano,Balami,FeMale,Adult,Commercial,Intensive
CB,0,0,0,0,45.57964602,20.44690265,Kano,Yankasa,Male,Young,Commercial,Intensive
DB,0,0,0,0,33.23451327,20.44690265,Kano,Balami,FeMale,Adult,Commercial,Intensive
EB,0,0,20,1,45.57964602,28.23451327,Kano,Yankasa,FeMale,Adult,Commercial,Intensive
FB,0,0,0,0,36.15486726,20.44690265,Kano,Uda,FeMale,Adult,Commercial,Intensive
GB,20,1,0,0,45.57964602,20.44690265,Kano,Uda,Male,Adult,Commercial,Intensive
HB,20,1,0,0,36.28761062,30.35840708,Kano,Uda,FeMale,Adult,Institutional,Semi-intensive
IB,640,32,40,2,34.51769912,36.06637168,Kano,Yankasa,FeMale,Young,Institutional,Semi-intensive
JB,440,22,0,0,36.28761062,33.1460177,Kano,Balami,FeMale,Adult,Institutional,Semi-intensive
KB,560,28,80,4,36.28761062,33.1460177,Kano,Balami,FeMale,Young,Institutional,Semi-intensive
LB,240,12,0,0,45.57964602,22.57079646,Kano,Balami,FeMale,Adult,Institutional,Semi-intensive
MB,220,11,0,0,34.51769912,30.35840708,Kano,Balami,FeMale,Adult,Institutional,Semi-intensive
NB,0,0,0,0,34.5619469,30.35840708,Kano,Uda,FeMale,Adult,Institutional,Semi-intensive
OB,240,12,0,0,34.5619469,30.35840708,Kano,Balami,Male,Adult,Institutional,Semi-intensive
PB,80,4,20,1,36.28761062,33.1460177,Kano,Balami,FeMale,Adult,Institutional,Semi-intensive
QB,0,0,0,0,45.57964602,33.1460177,Kano,Balami,FeMale,Adult,Institutional,Semi-intensive
RB,120,6,0,0,45.57964602,22.57079646,Kano,Yankasa,Male,Adult,Institutional,Semi-intensive
SB,260,13,20,1,45.57964602,22.57079646,Kano,Uda,FeMale,Adult,Institutional,Semi-intensive
TB,80,4,0,0,45.57964602,33.1460177,Kano,Yankasa,FeMale,Adult,Institutional,Semi-intensive
UB,180,9,0,0,34.5619469,33.1460177,Kano,Uda,FeMale,Adult,Institutional,Semi-intensive
VB,520,26,20,1,34.5619469,33.1460177,Kano,Yankasa,FeMale,Adult,Institutional,Semi-intensive
WB,120,6,80,4,34.5619469,22.57079646,Kano,Balami,FeMale,Adult,Institutional,Semi-intensive
XB,0,0,0,0,36.28761062,33.1460177,Kano,Balami,FeMale,Adult,Institutional,Semi-intensive
YB,260,13,0,0,36.28761062,33.1460177,Kano,Balami,FeMale,Adult,Institutional,Semi-intensive
ZB,0,0,0,0,34.5619469,33.1460177,Kano,Balami,FeMale,Adult,Institutional,Semi-intensive
AC,180,9,40,2,36.28761062,33.1460177,Kano,Balami,FeMale,Adult,Institutional,Semi-intensive
BC,0,0,80,4,26.50884956,22.57079646,Kano,Uda,FeMale,Adult,Commercial,Intensive
CC,80,4,120,6,45.57964602,34.34070796,Kano,Uda,FeMale,Adult,Commercial,Intensive
DC,40,2,180,9,45.57964602,34.34070796,Kano,Balami,FeMale,Adult,Commercial,Intensive
EC,0,0,0,0,45.57964602,28.36725664,Kano,Balami,FeMale,Adult,Commercial,Intensive
FC,0,0,200,10,36.06637168,36.15486726,Kano,Yankasa,FeMale,Adult,Commercial,Intensive
GC,60,3,80,4,45.57964602,28.23451327,Kano,Yankasa,FeMale,Adult,Commercial,Intensive
HC,360,18,240,12,45.57964602,36.33185841,Kano,Balami,FeMale,Adult,Commercial,Intensive
IC,40,2,20,1,28.23451327,28.54424779,Kano,Balami,FeMale,Adult,Commercial,Intensive
JC,80,4,40,2,36.42035398,28.54424779,Kano,Uda,FeMale,Adult,Commercial,Intensive
KC,140,7,40,2,36.06637168,36.33185841,Kano,Balami,FeMale,Adult,Commercial,Intensive
LC,0,0,0,0,45.57964602,20.31415929,Kano,Yankasa,Male,Adult,Commercial,Intensive
MC,20,1,40,2,36.06637168,20.31415929,Kano,Balami,Male,Adult,Commercial,Intensive
NC,0,0,0,0,45.57964602,28.54424779,Katsina,Sudanese,Male,Adult,Commercial,Intensive
OC,0,0,40,2,28.41150442,45.57964602,Katsina,Balami,Male,Adult,Commercial,Intensive
PC,0,0,0,0,27.96902655,45.57964602,Katsina,Balami,Male,Adult,Commercial,Intensive
QC,0,0,0,0,27.96902655,20.31415929,Katsina,Yankasa,Male,Adult,Commercial,Intensive
RC,0,0,0,0,27.96902655,36.33185841,Katsina,Sudanese,FeMale,Adult,Commercial,Intensive
SC,0,0,0,0,28.41150442,36.33185841,Katsina,Balami,Male,Adult,Commercial,Intensive
TC,0,0,0,0,34.16371681,45.57964602,Katsina,Sudanese,FeMale,Adult,Commercial,Intensive
UC,120,6,20,1,28.41150442,28.54424779,Katsina,Balami,Male,Adult,Commercial,Intensive
VC,0,0,0,0,28.41150442,45.57964602,Katsina,Uda,Male,Adult,Commercial,Intensive
WC,40,2,0,0,30.13716814,20.31415929,Katsina,Sudanese,FeMale,Adult,Commercial,Intensive
XC,140,7,140,7,35.88938053,28.54424779,Katsina,Balami,Male,Adult,Commercial,Intensive
YC,0,0,80,4,27.96902655,20.31415929,Katsina,Balami,Male,Adult,Commercial,Intensive
ZC,0,0,0,0,26.50884956,28.54424779,Katsina,Balami,Male,Adult,Commercial,Intensive
AD,0,0,0,0,27.96902655,45.57964602,Katsina,Sudanese,FeMale,Adult,Commercial,Intensive
BD,0,0,0,0,27.96902655,28.54424779,Katsina,Sudanese,Male,Adult,Commercial,Intensive
CD,0,0,0,0,34.34070796,20.31415929,Katsina,Uda,Male,Adult,Commercial,Intensive
DD,500,25,300,15,45.57964602,33.1460177,Katsina,Sudanese,FeMale,Adult,Smallholder,Intensive
ED,520,26,180,9,30.13716814,28.54424779,Katsina,Balami,Male,Adult,Smallholder,Intensive
FD,100,5,100,5,34.29646018,28.54424779,Katsina,Balami,Male,Adult,Smallholder,Intensive
GD,100,5,0,0,27.96902655,36.33185841,Katsina,Sudanese,FeMale,Adult,Smallholder,Intensive
HD,0,0,0,0,27.96902655,20.31415929,Katsina,Balami,Male,Adult,Smallholder,Intensive
ID,300,15,0,0,45.57964602,45.57964602,Katsina,Sudanese,Male,Adult,Smallholder,Intensive
JD,0,0,0,0,30.13716814,34.42920354,Katsina,Sudanese,FeMale,Adult,Smallholder,Intensive
KD,0,0,0,0,36.19911504,28.10176991,Katsina,Sudanese,Male,Adult,Smallholder,Intensive
LD,40,2,180,9,43.45575221,36.33185841,Katsina,Uda,FeMale,Adult,Smallholder,Intensive
MD,140,7,0,0,30.13716814,20.31415929,Katsina,Sudanese,FeMale,Adult,Smallholder,Intensive
ND,20,1,20,1,45.57964602,36.33185841,Katsina,Sudanese,FeMale,Adult,Institutional,Intensive
OD,60,3,0,0,27.96902655,20.31415929,Katsina,Balami,Male,Adult,Institutional,Intensive
PD,280,14,280,14,45.57964602,20.31415929,Katsina,Balami,Male,Adult,Institutional,Intensive
QD,0,0,120,6,35.97787611,20.0840708,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
RD,160,8,160,8,34.29646018,34.34070796,Katsina,Yankasa,Male,Adult,Smallholder,Semi-intensive
SD,140,7,60,3,26.50884956,15.00442478,Katsina,Balami,FeMale,Young,Smallholder,Semi-intensive
TD,420,21,520,26,26.50884956,34.34070796,Katsina,Uda,FeMale,Adult,Smallholder,Semi-intensive
UD,40,2,100,5,41.28761062,5.004424779,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
VD,560,28,40,2,36.06637168,6.376106195,Katsina,Yankasa,FeMale,Young,Smallholder,Semi-intensive
WD,60,3,20,1,45.57964602,29.78318584,Katsina,Balami,Male,Adult,Smallholder,Semi-intensive
XD,240,12,20,1,34.29646018,8.942477876,Katsina,Balami,FeMale,Young,Smallholder,Semi-intensive
YD,60,3,60,3,30.13716814,45.57964602,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
ZD,0,0,0,0,30.13716814,28.54424779,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
AE,0,0,0,0,41.28761062,36.33185841,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
BE,100,5,120,6,45.57964602,29.78318584,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
CE,60,3,60,3,26.50884956,28.54424779,Katsina,Uda,FeMale,Adult,Smallholder,Semi-intensive
DE,320,16,0,0,36.19911504,36.33185841,Katsina,Balami,Male,Adult,Smallholder,Semi-intensive
EE,0,0,0,0,36.19911504,36.33185841,Katsina,Yankasa,Male,Young,Smallholder,Semi-intensive
FE,180,9,180,9,34.29646018,45.57964602,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
GE,200,10,0,0,26.50884956,11.86283186,Katsina,Balami,Male,Young,Smallholder,Semi-intensive
HE,0,0,80,4,28.41150442,29.78318584,Katsina,Uda,FeMale,Adult,Commercial,Semi-intensive
IE,40,2,0,0,34.29646018,31.99557522,Katsina,Balami,FeMale,Adult,Commercial,Semi-intensive
JE,20,1,0,0,45.57964602,10.09292035,Katsina,Uda,FeMale,Adult,Commercial,Semi-intensive
KE,340,17,20,1,28.41150442,28.54424779,Katsina,Balami,Male,Adult,Commercial,Semi-intensive
LE,60,3,40,2,35.97787611,28.54424779,Katsina,Uda,Male,Adult,Commercial,Semi-intensive
ME,360,18,0,0,36.19911504,4.119469027,Katsina,Balami,Male,Adult,Commercial,Semi-intensive
NE,160,8,70,4,30.13716814,16.59734513,Katsina,Balami,FeMale,Adult,Commercial,Semi-intensive
OE,0,0,0,0,45.57964602,29.78318584,Katsina,Balami,Male,Adult,Commercial,Semi-intensive
PE,40,2,240,12,45.57964602,45.57964602,Katsina,Uda,Male,Adult,Commercial,Semi-intensive
QE,40,2,40,2,32.96902655,29.78318584,Katsina,Balami,FeMale,Adult,Commercial,Semi-intensive
RE,520,26,460,23,26.50884956,13.05752212,Katsina,Balami,FeMale,Adult,Commercial,Semi-intensive
SE,0,0,60,3,22.34955752,45.57964602,Katsina,Balami,FeMale,Adult,Commercial,Semi-intensive
TE,0,0,20,1,36.19911504,21.99557522,Katsina,Balami,Male,Adult,Commercial,Semi-intensive
UE,160,8,160,8,34.34070796,45.57964602,Katsina,Yankasa,Male,Adult,Commercial,Semi-intensive
VE,360,18,0,0,45.57964602,21.99557522,Katsina,Balami,FeMale,Young,Smallholder,Semi-intensive
WE,560,28,80,4,45.57964602,7.526548673,Katsina,Uda,Male,Young,Smallholder,Semi-intensive
XE,200,10,160,8,45.57964602,31.45575221,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
YE,0,0,0,0,36.19911504,33.1460177,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
ZE,220,11,60,3,45.57964602,29.78318584,Katsina,Balami,Male,Young,Smallholder,Semi-intensive
AF,540,27,180,9,36.11061947,16.46460177,Katsina,Balami,Male,Adult,Smallholder,Semi-intensive
BF,40,2,0,0,43.45575221,36.15486726,Katsina,Balami,Male,Adult,Smallholder,Semi-intensive
CF,20,1,0,0,30.13716814,36.15486726,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
DF,0,0,0,0,30.13716814,36.15486726,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
EF,60,3,0,0,35.97787611,20.31415929,Katsina,Yankasa,Male,Young,Smallholder,Semi-intensive
FF,320,16,160,8,45.57964602,20.31415929,Katsina,Balami,Male,Young,Smallholder,Semi-intensive
GF,220,11,80,4,34.25221239,29.78318584,Katsina,Balami,FeMale,Young,Smallholder,Semi-intensive
HF,0,0,0,0,34.25221239,28.10176991,Katsina,Sudanese,FeMale,Adult,Smallholder,Semi-intensive
IF,400,20,300,15,34.25221239,29.78318584,Katsina,Yankasa,FeMale,Adult,Smallholder,Semi-intensive
JF,240,12,160,8,34.25221239,6.376106195,Katsina,Balami,Male,Young,Smallholder,Semi-intensive
KF,220,11,20,1,36.11061947,7.039823009,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
LF,320,16,20,1,36.11061947,9.296460177,Katsina,Uda,Male,Adult,Smallholder,Semi-intensive
MF,140,7,80,4,36.11061947,29.78318584,Katsina,Yankasa,FeMale,Young,Smallholder,Semi-intensive
NF,0,0,0,0,36.11061947,21.41150443,Katsina,Balami,Male,Adult,Smallholder,Semi-intensive
OF,0,0,0,0,41.55309735,27.88053097,Kaduna,Yankasa,FeMale,Adult,Smallholder,Intensive
PF,0,0,0,0,28.23451327,27.88053097,Kaduna,Balami,Male,Adult,Smallholder,Intensive
QF,0,0,0,0,30.53539823,20.09292035,Kaduna,Balami,FeMale,Adult,Smallholder,Intensive
RF,0,0,0,0,30.53539823,20.09292035,Kaduna,Yankasa,FeMale,Adult,Smallholder,Intensive
SF,0,0,0,0,30.53539823,20.09292035,Kaduna,Yankasa,FeMale,Adult,Smallholder,Intensive
TF,0,0,0,0,43.8539823,30.04867257,Kaduna,Balami,Male,Adult,Smallholder,Intensive
UF,0,0,0,0,43.8539823,22.26106195,Kaduna,Yankasa,Male,Young,Smallholder,Intensive
VF,0,0,0,0,43.8539823,30.04867257,Kaduna,Yankasa,FeMale,Adult,Smallholder,Intensive
WF,120,6,0,0,43.8539823,30.04867257,Kaduna,Yankasa,FeMale,Adult,Smallholder,Extensive
XF,240,12,40,2,43.8539823,30.04867257,Kaduna,Yankasa,Male,Young,Smallholder,Extensive
YF,420,21,0,0,43.8539823,33.23451327,Kaduna,Yankasa,FeMale,Adult,Smallholder,Extensive
ZF,60,3,0,0,43.8539823,33.23451327,Kaduna,Uda,Male,Adult,Smallholder,Semi-intensive
AG,0,0,0,0,43.8539823,28.36725664,Kaduna,Yankasa,Male,Adult,Smallholder,Semi-intensive
BG,80,4,0,0,30.53539823,28.36725664,Kaduna,Uda,FeMale,Adult,Smallholder,Semi-intensive
CG,40,2,0,0,33.05752212,36.15486726,Kaduna,Sudanese,FeMale,Adult,Smallholder,Semi-intensive
DG,0,0,0,0,33.05752212,36.15486726,Kaduna,Yankasa,FeMale,Adult,Smallholder,Semi-intensive
EG,0,0,0,0,33.05752212,28.36725664,Kaduna,Yankasa,FeMale,Adult,Smallholder,Semi-intensive
FG,0,0,20,1,45.57964602,36.15486726,Kaduna,Yankasa,Male,Adult,Smallholder,Semi-intensive
GG,380,19,40,2,33.05752212,28.36725664,Kaduna,Yankasa,Male,Adult,Smallholder,Semi-intensive
HG,520,26,100,5,45.57964602,36.15486726,Kaduna,Yankasa,Male,Adult,Smallholder,Semi-intensive
IG,0,0,40,2,45.57964602,28.36725664,Kaduna,Yankasa,Male,Adult,Smallholder,Semi-intensive
JG,20,1,0,0,33.05752212,28.36725664,Kaduna,Uda,FeMale,Young,Smallholder,Semi-intensive
KG,0,0,0,0,41.28761062,45.57964602,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
LG,40,2,40,2,34.29646018,45.57964602,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
MG,0,0,0,0,26.50884956,28.36725664,Kaduna,Balami,Male,Adult,Institutional,Semi-intensive
NG,0,0,0,0,26.50884956,28.45575221,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
OG,240,12,0,0,45.57964602,45.57964602,Kaduna,Yankasa,Male,Young,Institutional,Semi-intensive
PG,20,1,0,0,35.97787611,34.42920354,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
QG,40,2,0,0,35.97787611,45.57964602,Kaduna,Yankasa,Male,Young,Institutional,Semi-intensive
RG,0,0,20,1,45.57964602,28.36725664,Kaduna,Balami,FeMale,Adult,Institutional,Semi-intensive
SG,0,0,0,0,35.97787611,34.42920354,Kaduna,Yankasa,Male,Young,Institutional,Semi-intensive
TG,0,0,0,0,35.97787611,45.57964602,Kaduna,Balami,FeMale,Adult,Institutional,Semi-intensive
UG,0,0,0,0,45.57964602,45.57964602,Kaduna,Yankasa,FeMale,Young,Institutional,Semi-intensive
VG,0,0,0,0,34.29646018,34.42920354,Kaduna,Balami,FeMale,Adult,Institutional,Semi-intensive
WG,60,3,0,0,26.50884956,45.57964602,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
XG,420,21,0,0,34.29646018,34.42920354,Kaduna,Balami,Male,Adult,Institutional,Semi-intensive
YG,0,0,0,0,26.50884956,45.57964602,Kaduna,Yankasa,Male,Young,Institutional,Semi-intensive
ZG,20,1,0,0,45.57964602,28.45575221,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
AH,0,0,0,0,35.88938053,28.45575221,Kaduna,Yankasa,FeMale,Young,Smallholder,Extensive
BH,0,0,40,2,45.57964602,28.45575221,Kaduna,Yankasa,FeMale,Adult,Smallholder,Extensive
CH,500,25,80,4,26.37610619,28.45575221,Kaduna,Yankasa,FeMale,Adult,Smallholder,Extensive
DH,120,6,20,1,26.37610619,28.45575221,Kaduna,Yankasa,FeMale,Adult,Smallholder,Extensive
EH,60,3,40,2,35.97787611,28.45575221,Kaduna,Yankasa,FeMale,Young,Smallholder,Extensive
FH,20,1,0,0,26.37610619,34.5619469,Kaduna,Yankasa,FeMale,Adult,Smallholder,Extensive
GH,80,4,0,0,26.37610619,28.45575221,Kaduna,Yankasa,FeMale,Young,Smallholder,Extensive
HH,0,0,0,0,35.97787611,34.5619469,Kaduna,Yankasa,Male,Adult,Smallholder,Extensive
IH,0,0,0,0,35.97787611,34.5619469,Kaduna,Yankasa,Male,Young,Smallholder,Extensive
JH,420,21,0,0,35.97787611,34.5619469,Kaduna,Uda,Male,Adult,Smallholder,Extensive
KH,0,0,0,0,33.05752212,28.45575221,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
LH,40,2,0,0,33.05752212,28.45575221,Kaduna,Uda,Male,Young,Institutional,Semi-intensive
MH,100,5,0,0,33.05752212,28.45575221,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
NH,40,2,0,0,33.05752212,28.45575221,Kaduna,Yankasa,FeMale,Young,Institutional,Semi-intensive
OH,0,0,0,0,35.97787611,28.45575221,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
PH,0,0,0,0,45.57964602,34.5619469,Kaduna,Balami,Male,Adult,Institutional,Semi-intensive
QH,140,7,0,0,26.50884956,34.5619469,Kaduna,Yankasa,Male,Young,Institutional,Semi-intensive
RH,0,0,0,0,45.57964602,34.5619469,Kaduna,Yankasa,Male,Adult,Institutional,Semi-intensive
SH,0,0,0,0,34.29646018,26.77433628,Kaduna,Yankasa,Male,Adult,Institutional,Semi-intensive
TH,0,0,0,0,35.97787611,26.77433628,Kaduna,Yankasa,Male,Adult,Institutional,Semi-intensive
UH,0,0,0,0,35.97787611,20.31415929,Kaduna,Balami,Male,Young,Institutional,Semi-intensive
VH,0,0,0,0,45.57964602,26.77433628,Kaduna,Yankasa,Male,Young,Institutional,Semi-intensive